respondent_id,h1n1_concern,h1n1_knowledge,behavioral_antiviral_meds,behavioral_avoidance,behavioral_face_mask,behavioral_wash_hands,behavioral_large_gatherings,behavioral_outside_home,behavioral_touch_face,doctor_recc_h1n1,doctor_recc_seasonal,chronic_med_condition,child_under_6_months,health_worker,opinion_h1n1_vacc_effective,opinion_h1n1_risk,opinion_h1n1_sick_from_vacc,opinion_seas_vacc_effective,opinion_seas_risk,opinion_seas_sick_from_vacc,age_group,education,race,sex,income_poverty,marital_status,rent_or_own,employment_status,hhs_geo_region,census_msa,household_adults,household_children
14,3.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0,4.0,2.0,4.0,4.0,2.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,2.0,1.0,1.0,0.0
15,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,2.0,2.0,2.0,1.0,1.0,1.0,2.0,0.0,0.0,2.0,1.0,0.0,1.0,5.0,1.0,1.0,3.0
16,2.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,3.0,2.0,1.0,4.0,4.0,1.0,3.0,1.0,0.0,0.0,1.0,1.0,0.21366858005680137,0.0,0.0,2.0,0.0,0.0
17,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,2.0,2.0,4.0,4.0,2.0,1.0,1.0,3.0,0.0,0.0,1.0,0.0,0.0,1.0,5.0,1.0,1.0,0.0
18,1.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,5.0,2.0,2.0,5.0,4.0,2.0,3.0,2.0,0.0,1.0,2.0,1.0,0.0,1.0,0.0,0.0,2.0,0.0
19,2.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,1.0,5.0,2.0,1.0,0.0,3.0,1.0,0.0,1.0,1.0,0.0,0.0,5.0,1.0,1.0,0.0
20,3.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,4.0,2.0,2.0,4.0,2.0,2.0,0.0,2.0,1.0,0.0,1.0,0.0,1.0,0.0,2.0,2.0,0.0,0.0
21,2.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,3.0,1.0,3.0,3.0,1.0,0.0,3.0,0.0,0.0,2.0,0.0,0.0,1.0,2.0,1.0,1.0,0.0
22,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,4.0,2.0,2.0,4.0,1.0,2.0,4.0,2.0,0.0,0.0,2.0,1.0,0.0,1.0,6.0,1.0,2.0,1.0
23,3.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,4.0,4.0,4.0,4.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,5.0,0.0,1.0,2.0
24,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,1.946843420847644,1.0,1.0,1.221494353144224,0.0,0.0,2.0,0.0,0.0,2.0,0.0
25,1.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,2.0,2.0,4.0,2.0,4.0,3.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
26,3.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,3.0,2.0,4.0,5.0,5.0,4.0,4.0,2.0,0.0,0.0,1.2122054254461652,1.0,0.23388608531222063,1.0,7.0,2.0,1.0,2.0
27,3.0,2.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0
28,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,4.0,0.0,1.0,0.0
29,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,3.0,1.0,5.0,4.0,1.0,4.0,3.0,1.9243979811098089,0.0,0.0,1.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0
30,3.0,2.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,2.0,1.0,2.0,4.0,2.0,1.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,2.0,0.0,2.0
31,2.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,4.0,4.0,1.0,2.0,2.0,3.0,2.0,0.0,1.2390259462886741,0.0,0.0,0.0,7.0,1.0,3.0,0.0
32,2.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,2.0,4.0,2.0,2.0,1.0,3.0,1.0,1.0,1.0,1.0,0.0,2.0,5.0,2.0,1.0,2.0
33,2.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,5.0,4.0,4.0,5.0,2.0,4.0,3.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,6.0,1.0,0.0,0.0
34,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0,1.0,2.0,4.0,2.0,1.0,2.0,2.0,0.0,1.0,2.0,1.0,0.0,1.0,7.0,1.0,1.0,2.0
35,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,3.0,5.0,5.0,5.0,2.0,5.0,0.0,0.0,3.0,0.0,1.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0
36,2.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,4.0,2.0,1.0,4.0,2.0,1.0,4.0,3.0,0.0,0.0,2.0,1.0,0.0,1.0,5.0,0.0,2.0,0.0
37,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,1.0,4.0,1.0,1.0,4.0,3.0,0.0,0.0,1.0,0.0,0.0,1.0,5.0,2.0,0.0,0.0
38,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,3.0,1.0,2.0,3.0,2.0,2.0,3.0,2.0,0.0,1.0,1.2769922217076035,1.0,0.0,0.0,1.0,1.0,1.0,0.0
39,2.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,5.0,4.0,2.0,5.0,4.0,2.0,3.0,0.0,0.0,0.0,1.2832358288187817,0.0,0.0,1.0,2.0,1.0,0.0,0.0
40,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,1.0,5.0,2.0,1.0,4.0,3.0,0.0,1.0,1.0,0.0,1.0,1.0,8.0,1.0,0.0,0.0
41,2.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,4.0,4.0,4.0,4.0,4.0,2.0,0.0,3.0,0.0,0.0,2.0,1.0,0.0,1.0,2.0,1.0,1.0,0.0
42,0.0,0.0,0.0,0.6879775423469634,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,4.0,3.0,1.0,5.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0
43,2.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,4.0,2.0,4.0,1.0,4.0,4.0,2.0,2.0,1.0,1.0,2.0,0.0,1.0,0.0,5.0,2.0,0.0,1.0
44,1.5441192471818308,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,1.0,3.0,1.0,1.0,0.0,2.0,0.0,0.0,1.0,0.0,1.0,1.0,6.0,2.0,1.0,0.0
45,2.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,4.0,4.0,5.0,2.0,3.0,0.0,0.0,2.0,1.0,1.0,1.0,7.0,1.0,2.0,1.0
46,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,2.0,1.0,5.0,1.0,1.0,0.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,5.0,1.0,1.0,0.0
47,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0,1.0,2.0,5.0,1.0,2.0,2.0,2.0,0.0,1.0,2.0,1.0,0.0,1.0,7.0,1.0,1.0,0.0
48,3.0,2.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0,4.0,1.0,5.0,5.0,1.0,4.0,2.0,0.0,0.0,1.0,1.0,0.0,1.0,3.0,0.0,1.0,0.0
49,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,4.0,2.0,5.0,4.0,1.0,2.0,2.0,0.0,0.0,2.0,1.0,0.0,0.0,2.0,2.0,1.0,3.0
50,2.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,2.0,1.0,4.0,2.0,1.0,4.0,2.0,0.0,1.0,1.0,1.0,0.0,1.0,9.0,0.0,1.0,2.0
51,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,1.0,5.0,4.0,1.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0
52,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0,2.0,4.0,4.0,2.0,2.0,4.0,2.0,0.0,1.0,2.0,1.0,0.0,1.0,6.0,0.0,1.0,0.0
53,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,2.0,2.0,4.0,2.0,2.0,0.0,2.0,0.0,1.0,1.0,0.0,0.0,2.0,5.0,1.0,0.0,0.0
54,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,4.0,2.0,4.0,4.0,4.0,2.0,2.0,0.0,0.0,1.2300140831854987,0.0,1.0,2.0,8.0,1.0,0.0,1.0
55,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,2.0,4.0,2.0,2.0,0.0,2.0,0.0,0.0,1.0,1.0,0.0,1.0,9.0,1.0,1.0,0.0
56,2.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,4.0,2.0,2.0,5.0,5.0,2.0,3.0,1.0,0.0,0.0,1.0,0.0,0.25304301928761813,1.0,0.0,0.0,0.0,0.0
57,3.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.8414719932556722,2.0,4.0,4.0,4.0,1.0,0.0,0.0,0.0,1.0,1.174032134388551,1.0,0.2698876453280544,1.0,9.0,2.0,1.0,0.0
58,2.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,4.0,2.0,2.0,4.0,2.0,2.0,4.0,2.0,0.0,0.0,1.0,1.0,0.0,1.0,4.0,2.0,1.0,2.0
59,3.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,5.0,5.0,4.0,1.0,4.0,1.0,3.0,3.0,0.0,0.0,1.0,1.0,2.0,8.0,2.0,1.0,2.0
60,3.0,2.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,4.0,4.0,5.0,4.0,4.0,1.0,4.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,6.0,1.0,0.0,0.0
61,3.0,2.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,4.0,5.0,3.0,5.0,5.0,4.0,2.0,0.0,1.0,2.0,1.0,0.0,1.0,6.0,1.0,1.0,2.0
62,2.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,2.0,5.0,1.0,2.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,3.0,1.0,2.0,0.0
63,2.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,4.0,4.0,4.0,4.0,4.0,1.0,2.0,1.0,0.0,1.0,1.109855658922563,0.0,0.27847785862209956,0.8026365238824685,7.0,2.0,3.0,1.0
64,1.0,0.0,0.0,0.0,0.0,0.686607145476492,0.0,0.0,0.0,0.0,0.0,0.2963514315090856,0.09367601715725743,0.13104750724025646,3.0,3.0,2.0,3.0,2.8651469611330787,2.351990454431225,4.0,1.7093658927725688,2.0,0.0,1.120477222194125,0.4472983410237059,0.2880883461692135,0.7832081561941922,9.0,0.0,1.0,2.0
65,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,1.0,3.0,1.0,1.0,0.0,2.0,1.0,0.0,2.0,0.0,1.0,1.0,6.0,1.0,0.0,0.0
66,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,2.0,2.0,4.0,2.0,4.0,2.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,5.0,0.0,1.0,2.0
67,2.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,4.0,2.0,2.0,4.0,4.0,2.0,1.0,2.0,1.0,1.0,1.0,0.0,0.0,1.0,5.0,2.0,0.0,1.0
68,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,3.0,2.0,2.0,4.0,4.0,4.0,3.0,1.6494788367142115,0.0,0.0,1.0639761958473763,0.4499517071851911,0.0,0.0,0.0,0.0,1.0,0.0
69,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,1.0,5.0,1.0,1.0,3.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,7.0,1.0,0.0,0.0
70,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,1.0,5.0,5.0,2.0,5.0,2.0,2.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,2.0,1.0
71,3.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,5.0,4.0,4.0,5.0,4.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,1.0,0.0,0.0
72,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,1.0,4.0,1.0,1.0,3.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0
73,3.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0,2.0,4.0,5.0,5.0,1.0,3.0,2.0,0.0,0.0,1.0,0.0,1.0,0.0,4.0,1.0,0.0,0.0
74,2.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,5.0,4.0,4.0,5.0,5.0,5.0,2.0,3.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0
75,3.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,5.0,4.0,4.0,5.0,4.0,4.0,4.0,1.634564352145112,0.0,1.0,1.0297498056912378,0.5033098928221725,0.29532568419137606,0.6686677689249402,0.0,1.0,1.0,2.0
76,2.0,1.0,0.0,0.6543509274069175,0.0,0.0,0.0,0.0,0.0,0.1790113689157021,0.32946546548106165,1.0,0.0,0.0,4.0,2.0,2.0,5.0,4.0,2.0,0.0,2.0,0.0,1.0,2.0,0.0,0.0,1.0,6.0,2.0,1.0,0.0
77,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,5.0,1.0,1.0,5.0,5.0,4.0,1.0,1.0,0.0,0.0,2.0,1.0,0.0,1.0,9.0,2.0,1.0,2.0
78,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,2.0,1.0,5.0,2.0,1.0,3.0,2.0,0.0,1.0,1.0996827996676732,0.0,0.0,0.0,4.0,1.0,0.0,0.0
79,3.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0,4.0,2.0,5.0,5.0,1.0,3.0,0.0,2.0,1.0,1.0,1.0,0.0,1.0,5.0,0.0,1.0,0.0
80,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,1.0,1.0,4.0,1.0,1.0,4.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
81,3.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,2.0,5.0,2.0,1.0,0.0,3.0,0.0,0.0,1.0,1.0,0.0,1.0,8.0,1.0,1.0,0.0
82,2.0,2.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,5.0,4.0,4.0,5.0,4.0,4.0,2.0,2.0,0.0,0.0,1.0,1.0,0.0,1.0,4.0,1.0,1.0,1.0
83,3.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,2.0,1.0,0.0,1.0,0.0,0.0,1.0,9.0,1.0,0.0,1.0
84,2.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,5.0,4.0,1.0,5.0,4.0,1.0,3.0,1.0,0.0,0.0,1.0900423046643044,1.0,0.0,0.0,4.0,0.0,1.0,0.0
85,2.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,5.0,4.0,2.0,5.0,4.0,4.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,2.0,2.0,1.0,0.0
86,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,2.0,4.0,1.0,2.0,4.0,0.0,0.0,1.0,2.0,1.0,0.0,2.0,2.0,1.0,2.0,1.0
87,3.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,3.0,4.0,2.0,4.0,4.0,5.0,2.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,3.0,1.0,1.0,1.0
88,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,4.0,1.0,1.0,4.0,1.0,4.0,3.0,1.0,2.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
89,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.9819639864275493,1.0,4.0,4.0,2.0,4.0,2.0,2.0,2.0,0.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,0.0
90,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.1930882039103265,0.344366945956675,0.0,0.0,1.0,3.0,3.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,0.0,1.054352642603674,0.0,1.0,1.0,3.0,0.0,0.0,0.0
91,2.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,4.0,4.0,2.0,5.0,4.0,1.0,2.0,1.0,0.0,0.0,1.0518450695781705,1.0,0.0,0.0,0.0,0.0,1.0,2.0
92,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,4.0,4.0,1.0,1.0,2.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0
93,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0,4.0,4.0,5.0,4.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,0.0,2.0,1.0,1.0,2.0
94,2.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.22835701944487566,0.3688201875678925,0.0,0.0,0.0,5.0,5.0,5.0,5.0,5.0,1.0,1.0,1.6534418629075194,3.0,0.0,1.026792261902479,0.5185971020023941,0.26645541885292584,0.6617185883687917,9.0,1.0,1.0,3.0
95,2.0,2.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,5.0,2.0,4.0,5.0,2.0,4.0,2.0,2.0,0.0,0.0,1.0,0.0,0.0,2.0,5.0,2.0,2.0,0.0
96,1.7432785218113238,1.0,0.0,1.0,0.0,1.0,0.0,0.3596124853909557,0.0,1.0,1.0,1.0,0.0,0.0,5.0,4.0,4.0,5.0,5.0,2.0,3.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0
97,2.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.24618190398464332,0.3728966781967298,1.0,0.0,0.0,5.0,2.0,1.0,5.0,4.0,1.0,4.0,2.0,0.0,1.0,2.0,0.0,0.0,0.0,6.0,2.0,1.0,0.0
98,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.0,2.0,5.0,2.0,2.0,5.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,2.0,3.0,3.0
99,2.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,3.0,4.0,2.0,5.0,1.0,2.0,3.0,0.0,3.0,1.0,0.0,1.0,1.0,0.0,7.0,1.0,1.0,0.0
