respondent_id,h1n1_concern,h1n1_knowledge,behavioral_antiviral_meds,behavioral_avoidance,behavioral_face_mask,behavioral_wash_hands,behavioral_large_gatherings,behavioral_outside_home,behavioral_touch_face,doctor_recc_h1n1,chronic_med_condition,child_under_6_months,health_worker,opinion_h1n1_vacc_effective,opinion_h1n1_risk,opinion_h1n1_sick_from_vacc,age_group,education,race,sex,income_poverty,marital_status,rent_or_own,employment_status,hhs_geo_region,census_msa,household_adults,household_children
29,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,3.0,1.0,5.0,4.0,1.984329430763067,0.0,0.0,1.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0
30,3.0,2.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,2.0,1.0,2.0,1.0,3.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,2.0,0.0,2.0
31,2.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,2.0,4.0,0.0,2.0,2.0,0.0,1.2409225987494406,0.0,0.0,0.0,7.0,1.0,3.0,0.0
32,2.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,2.0,5.0,2.0,1.0,2.0
33,2.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,5.0,4.0,4.0,4.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,6.0,1.0,0.0,0.0
34,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0,1.0,2.0,0.0,3.0,0.0,1.0,2.0,1.0,0.0,1.0,7.0,1.0,1.0,2.0
35,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,3.0,5.0,5.0,3.0,0.0,3.0,0.0,1.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0
36,2.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,4.0,2.0,1.0,2.0,2.0,0.0,0.0,2.0,1.0,0.0,1.0,5.0,0.0,2.0,0.0
37,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,1.0,2.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,5.0,2.0,0.0,0.0
38,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,3.0,1.0,2.0,4.0,3.0,0.0,1.0,1.2736157028540422,1.0,0.0,0.0,1.0,1.0,1.0,0.0
39,2.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,5.0,4.0,2.0,4.0,0.0,0.0,0.0,1.28467481212292,0.0,0.0,1.0,2.0,1.0,0.0,0.0
40,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,4.0,1.0,2.0,2.0,0.0,1.0,1.0,0.0,1.0,1.0,8.0,1.0,0.0,0.0
41,2.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,4.0,4.0,4.0,3.0,2.0,0.0,0.0,2.0,1.0,0.0,1.0,2.0,1.0,1.0,0.0
42,0.0,0.0,0.0,0.6887234888851871,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,4.0,3.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0
43,2.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,4.0,2.0,4.0,0.0,3.0,1.0,1.0,2.0,0.0,1.0,0.0,5.0,2.0,0.0,1.0
44,1.5463820221492937,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,1.0,3.0,3.0,0.0,0.0,1.0,0.0,1.0,1.0,6.0,2.0,1.0,0.0
45,2.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,0.0,2.0,0.0,0.0,2.0,1.0,1.0,1.0,7.0,1.0,2.0,1.0
46,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,2.0,1.0,3.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,5.0,1.0,1.0,0.0
47,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0,1.0,2.0,0.0,3.0,0.0,1.0,2.0,1.0,0.0,1.0,7.0,1.0,1.0,0.0
48,3.0,2.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,5.0,4.0,1.0,2.0,3.0,0.0,0.0,1.0,1.0,0.0,1.0,3.0,0.0,1.0,0.0
49,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,4.0,2.0,0.0,3.0,0.0,0.0,2.0,1.0,0.0,0.0,2.0,2.0,1.0,3.0
50,2.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,2.0,1.0,2.0,3.0,0.0,1.0,1.0,1.0,0.0,1.0,9.0,0.0,1.0,2.0
51,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,1.0,3.0,3.0,0.0,0.0,2.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0
52,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,5.0,2.0,4.0,2.0,3.0,0.0,1.0,2.0,1.0,0.0,1.0,6.0,0.0,1.0,0.0
53,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,2.0,2.0,3.0,3.0,0.0,1.0,1.0,0.0,0.0,2.0,5.0,1.0,0.0,0.0
54,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,4.0,2.0,0.0,3.0,0.0,0.0,1.2320009757954868,0.0,1.0,2.0,8.0,1.0,0.0,1.0
55,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,2.0,3.0,3.0,0.0,0.0,1.0,1.0,0.0,1.0,9.0,1.0,1.0,0.0
56,2.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,4.0,2.0,2.0,4.0,1.0,0.0,0.0,1.0,0.0,0.2516266461860442,1.0,0.0,0.0,0.0,0.0
57,3.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.8313058706038956,2.0,4.0,3.0,0.0,0.0,1.0,1.1750945112187123,1.0,0.2658535076934257,1.0,9.0,2.0,1.0,0.0
58,2.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,2.0,2.0,2.0,3.0,0.0,0.0,1.0,1.0,0.0,1.0,4.0,2.0,1.0,2.0
59,3.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,5.0,5.0,1.0,2.0,3.0,0.0,0.0,1.0,1.0,2.0,8.0,2.0,1.0,2.0
60,3.0,2.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,4.0,4.0,5.0,2.0,3.0,0.0,0.0,1.0,0.0,0.0,1.0,6.0,1.0,0.0,0.0
61,3.0,2.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,4.0,5.0,2.0,3.0,0.0,1.0,2.0,1.0,0.0,1.0,6.0,1.0,1.0,2.0
62,2.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,4.0,1.0,2.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,3.0,1.0,2.0,0.0
63,2.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,4.0,4.0,4.0,0.0,1.0,0.0,1.0,1.107931353716552,0.0,0.27901428732796973,0.8061445551059336,7.0,2.0,3.0,1.0
64,1.0,0.0,0.0,0.0,0.0,0.6917784947222979,0.0,0.0,0.0,0.0,0.290865598943633,0.09207061121001643,0.12977163319031743,3.0,3.0,2.0,2.0,2.0198537375005023,2.0,0.0,1.1267162309731413,0.44483782159930707,0.29410666479285985,0.7935306070453126,9.0,0.0,1.0,2.0
65,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,1.0,1.0,3.0,3.0,1.0,0.0,2.0,0.0,1.0,1.0,6.0,1.0,0.0,0.0
66,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,2.0,2.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,5.0,0.0,1.0,2.0
67,2.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,4.0,2.0,2.0,1.0,3.0,1.0,1.0,1.0,0.0,0.0,1.0,5.0,2.0,0.0,1.0
68,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,2.0,2.0,4.0,1.9437365681571757,0.0,0.0,1.0759344014942096,0.4467724763225485,0.0,0.0,0.0,0.0,1.0,0.0
69,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,1.0,1.0,4.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,7.0,1.0,0.0,0.0
70,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,1.0,5.0,0.0,3.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,2.0,1.0
71,3.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,5.0,4.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,1.0,0.0,0.0
72,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,1.0,4.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0
73,3.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,5.0,2.0,4.0,4.0,3.0,0.0,0.0,1.0,0.0,1.0,0.0,4.0,1.0,0.0,0.0
74,2.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,5.0,4.0,4.0,0.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0
75,3.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,5.0,4.0,4.0,2.0,1.9244047069589514,0.0,1.0,1.0354214404221687,0.5042624975619565,0.2926833735676262,0.6747777023854267,0.0,1.0,1.0,2.0
76,2.0,1.0,0.0,0.6467188992933952,0.0,0.0,0.0,0.0,0.0,0.179780953663383,1.0,0.0,0.0,4.0,2.0,2.0,3.0,3.0,0.0,1.0,2.0,0.0,0.0,1.0,6.0,2.0,1.0,0.0
77,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,1.0,1.0,1.0,1.0,0.0,0.0,2.0,1.0,0.0,1.0,9.0,2.0,1.0,2.0
78,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,2.0,1.0,4.0,3.0,0.0,1.0,1.1088799375224505,0.0,0.0,0.0,4.0,1.0,0.0,0.0
79,3.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,5.0,4.0,2.0,4.0,0.0,2.0,1.0,1.0,1.0,0.0,1.0,5.0,0.0,1.0,0.0
80,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,1.0,1.0,2.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
81,3.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,4.0,2.0,2.0,3.0,2.0,0.0,0.0,1.0,1.0,0.0,1.0,8.0,1.0,1.0,0.0
82,2.0,2.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,5.0,4.0,4.0,0.0,3.0,0.0,0.0,1.0,1.0,0.0,1.0,4.0,1.0,1.0,1.0
83,3.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,4.0,4.0,4.0,2.0,3.0,1.0,0.0,1.0,0.0,0.0,1.0,9.0,1.0,0.0,1.0
84,2.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,5.0,4.0,1.0,4.0,1.0,0.0,0.0,1.0915905577592133,1.0,0.0,0.0,4.0,0.0,1.0,0.0
85,2.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,5.0,4.0,2.0,3.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,2.0,2.0,1.0,0.0
86,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,2.0,2.0,0.0,0.0,1.0,2.0,1.0,0.0,2.0,2.0,1.0,2.0,1.0
87,3.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,3.0,4.0,2.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,3.0,1.0,1.0,1.0
88,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,4.0,1.0,1.0,4.0,1.0,2.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
89,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.982986708723007,1.0,4.0,0.0,3.0,2.0,0.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,0.0
90,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.19587581246828076,0.0,0.0,1.0,3.0,3.0,2.0,0.0,3.0,2.0,0.0,1.0555713766392798,0.0,1.0,1.0,3.0,0.0,0.0,0.0
91,2.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,4.0,4.0,2.0,0.0,1.0,0.0,0.0,1.05221621161566,1.0,0.0,0.0,0.0,0.0,1.0,2.0
92,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,4.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0
93,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,5.0,4.0,4.0,0.0,3.0,2.0,1.0,1.0,1.0,1.0,0.0,2.0,1.0,1.0,2.0
94,2.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.2284382260418508,0.0,0.0,0.0,5.0,5.0,5.0,1.0,1.9042353091238773,3.0,0.0,1.0304104633859423,0.5186844839595163,0.2652419598979751,0.6647680005861182,9.0,1.0,1.0,3.0
95,2.0,2.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,5.0,2.0,4.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,2.0,5.0,2.0,2.0,0.0
96,1.7461192162699712,1.0,0.0,1.0,0.0,1.0,0.0,0.36342104393593927,0.0,1.0,1.0,0.0,0.0,5.0,4.0,4.0,4.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0
97,2.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.24520616496844475,1.0,0.0,0.0,5.0,2.0,1.0,2.0,3.0,0.0,1.0,2.0,0.0,0.0,0.0,6.0,2.0,1.0,0.0
98,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.0,2.0,5.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,2.0,3.0,3.0
99,2.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,3.0,4.0,2.0,4.0,0.0,3.0,1.0,0.0,1.0,1.0,0.0,7.0,1.0,1.0,0.0
100,2.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,4.0,3.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,2.0,2.0,1.0,0.0
101,1.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,4.0,5.0,1.0,2.0,2.0,0.0,0.0,2.0,1.0,0.0,1.0,7.0,0.0,1.0,0.0
102,2.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.2181990268367315,1.0,0.0,0.0,3.0,5.0,1.0,4.0,3.0,0.0,1.0,2.0,1.0,0.0,0.0,3.0,2.0,1.0,0.0
103,2.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,1.0,2.0,1.0,0.0,1.0,0.0,1.0,0.0,2.0,2.0,0.0,1.0,1.0
104,2.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,4.0,3.0,0.0,0.0,1.0427886307887908,0.0,0.0,0.0,6.0,1.0,0.0,0.0
105,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.11488992154985204,0.12618415960038334,5.0,1.0,1.0,1.0,1.9845533323355145,0.0,0.0,1.0328343651419192,0.5583925927581486,0.21367620021979555,0.762062214362171,0.0,1.0,1.0,1.0
106,0.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,1.0,1.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,2.0,1.0,1.0,2.0,0.0
107,2.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,4.0,1.0,2.0,3.0,0.0,1.0,2.0,1.0,0.0,1.0,1.0,0.0,1.0,2.0
108,3.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,2.0,1.0,1.0,3.0,2.0,0.0,2.0,1.0,0.0,1.0,8.0,1.0,1.0,2.0
109,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,2.0,1.0,4.0,1.0,3.0,0.0,0.0,1.0,0.0,0.0,8.0,2.0,3.0,3.0
110,2.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,5.0,4.0,4.0,3.0,3.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0
111,2.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,2.0,4.0,2.0,2.0,0.0,1.0,1.0324570221825335,1.0,0.0,1.0,5.0,1.0,1.0,0.0
112,3.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,4.0,4.0,4.0,3.0,1.0,3.0,0.0,1.0,0.0,0.0,1.0,9.0,1.0,2.0,0.0
113,2.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,3.0,2.0,2.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,3.0,1.0,2.0,0.0
114,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,4.0,1.0,2.0,1.0,3.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,2.0
